Customer ID,Feedback Date,Feedback Text,Feedback Channel,Customer Sentiment,Service Category,Region,Customer Segment,Response Time,Resolution Status,Assigned Topic,Customer Satisfaction Score,Feedback Category,Customer Interaction History,Bank Response Text,Areas Bank is Lacking
1,2024-04-05 09:27:59.297011,"I waited 30 minutes to speak to someone, and they weren't helpful.",Social Media,Negative,ATM Services,Europe,Young Professionals,29,Unresolved,Service Issue,4,Customer Service,Called last year,Thank you for your feedback.,High Fees
2,2024-01-03 09:27:59.297033,"The bank charges too many fees, thinking of switching.",Phone Call,Mixed,Online Banking,South America,Young Professionals,20,Resolved,Service Issue,2,Customer Service,Called last year,Your issue has been resolved.,Slow Customer Service
3,2024-01-21 09:27:59.297036,"High fees on savings accounts, definitely not competitive.",Social Media,Mixed,ATM Services,North America,Students,37,Resolved,Service Issue,2,Technical Issue,Called last year,We are working on resolving your issue.,Slow Customer Service
4,2024-01-27 09:27:59.297038,"Investment advice was very helpful, made some good decisions.",Mobile App,Negative,ATM Services,Europe,Young Families,34,Unresolved,Service Issue,3,Technical Issue,Called last year,We are working on resolving your issue.,Loan Processing Delays
5,2024-02-09 09:27:59.297039,It took too long to get a response from customer support.,Branch Visit,Mixed,Credit Cards,South America,Young Families,28,Resolved,Service Issue,4,Customer Service,Called last year,Thank you for your feedback.,Technical Issues
6,2024-01-15 09:27:59.297041,"Investment advice was very helpful, made some good decisions.",Phone Call,Mixed,Mobile Banking,South America,Young Professionals,31,Resolved,Service Issue,1,Usability,Frequent user,We are working on resolving your issue.,Technical Issues
7,2023-12-16 09:27:59.297043,"I’m not happy with the loan approval process, very slow.",Mobile App,Mixed,ATM Services,North America,Retirees,40,Unresolved,Service Issue,1,Customer Service,Called last year,Your issue has been resolved.,Slow Customer Service
8,2024-04-02 09:27:59.297046,"The wait time for customer support is too long, not acceptable.",Survey,Negative,ATM Services,North America,Retirees,22,Resolved,Service Issue,1,Customer Service,Called last year,Your issue has been resolved.,Technical Issues
9,2023-09-30 09:27:59.297062,"I’m not happy with the loan approval process, very slow.",Social Media,Negative,Mortgage Services,Australia,Young Professionals,33,Resolved,Service Issue,3,Usability,Frequent user,Your issue has been resolved.,Slow Customer Service
10,2024-08-07 09:27:59.297064,"I had a great experience getting my credit card, easy and fast process.",Branch Visit,Mixed,Fees & Charges,North America,Young Families,32,Resolved,Service Issue,4,Customer Service,Called last year,We are working on resolving your issue.,High Fees
11,2024-01-16 09:27:59.297066,"High fees on savings accounts, definitely not competitive.",Phone Call,Positive,Online Banking,Asia,Young Families,25,Unresolved,Service Issue,1,Technical Issue,Called last year,We are working on resolving your issue.,Technical Issues
12,2024-03-27 09:27:59.297068,"Mortgage rates are competitive, happy with the process.",Email,Positive,Mortgage Services,South America,Young Families,16,Resolved,Service Issue,5,Usability,First interaction,Thank you for your feedback.,Technical Issues
13,2024-07-21 09:27:59.297070,"High fees on savings accounts, definitely not competitive.",Mobile App,Positive,Loan Services,North America,Students,37,Unresolved,Service Issue,3,Customer Service,Frequent user,We apologize for the inconvenience.,ATM Failures
14,2024-09-01 09:27:59.297071,"Quick and easy mortgage application, great experience.",Phone Call,Positive,Online Banking,North America,Young Families,3,Unresolved,Service Issue,3,Usability,Called last year,We are working on resolving your issue.,High Fees
15,2023-12-01 09:27:59.297073,"I waited 30 minutes to speak to someone, and they weren't helpful.",Survey,Mixed,ATM Services,Asia,Students,32,Resolved,Service Issue,4,Usability,Frequent user,Your issue has been resolved.,Slow Customer Service
16,2024-03-27 09:27:59.297074,"I waited 30 minutes to speak to someone, and they weren't helpful.",Branch Visit,Negative,ATM Services,Australia,Small Business,21,Resolved,Service Issue,2,Technical Issue,Frequent user,Thank you for your feedback.,Slow Customer Service
17,2024-04-30 09:27:59.297076,It took too long to get a response from customer support.,Branch Visit,Negative,Mortgage Services,Asia,Students,24,Unresolved,Service Issue,3,Technical Issue,Provided feedback 2 months ago,Your issue has been resolved.,High Fees
18,2023-12-03 09:27:59.297078,"High fees on savings accounts, definitely not competitive.",Mobile App,Mixed,ATM Services,Europe,Students,32,Unresolved,Service Issue,5,Usability,Provided feedback 2 months ago,Your issue has been resolved.,Technical Issues
19,2024-02-10 09:27:59.297080,The interest rates on savings accounts are too low.,Social Media,Mixed,Investment Advice,Asia,Young Professionals,20,Unresolved,Service Issue,2,Customer Service,Provided feedback 2 months ago,Your issue has been resolved.,High Fees
20,2024-04-15 09:27:59.297081,"Great service at the branch, very helpful staff!",Phone Call,Mixed,Credit Cards,Europe,Retirees,27,Resolved,Service Issue,2,Customer Service,Provided feedback 2 months ago,Thank you for your feedback.,Loan Processing Delays
21,2023-10-18 09:27:59.297083,"Mobile banking interface is user-friendly, much appreciated.",Survey,Positive,Online Banking,Australia,Small Business,16,Unresolved,Service Issue,2,Usability,First interaction,Your issue has been resolved.,Loan Processing Delays
22,2023-12-20 09:27:59.297085,"I had a great experience getting my credit card, easy and fast process.",Survey,Mixed,Credit Cards,South America,Small Business,1,Unresolved,Service Issue,5,Technical Issue,First interaction,Thank you for your feedback.,Slow Customer Service
23,2024-09-10 09:27:59.297087,"The app logs me out constantly, very frustrating.",Email,Positive,ATM Services,Asia,Retirees,7,Resolved,Service Issue,4,Technical Issue,First interaction,We are working on resolving your issue.,Loan Processing Delays
24,2024-04-06 09:27:59.297088,"I waited 30 minutes to speak to someone, and they weren't helpful.",Social Media,Negative,ATM Services,Asia,Students,1,Resolved,Service Issue,1,Customer Service,Provided feedback 2 months ago,We are working on resolving your issue.,High Fees
25,2024-01-21 09:27:59.297090,"Loan approval took forever, not coming back for another loan.",Mobile App,Negative,Credit Cards,Europe,Small Business,12,Unresolved,Service Issue,2,Technical Issue,Called last year,Thank you for your feedback.,High Fees
26,2024-01-25 09:27:59.297092,I had to call support twice to resolve the same issue.,Email,Positive,Savings Accounts,Europe,Young Families,36,Resolved,Service Issue,3,Customer Service,Provided feedback 2 months ago,Thank you for your feedback.,Loan Processing Delays
27,2024-06-26 09:27:59.297093,"Customer support was unhelpful, they couldn't resolve my issue.",Mobile App,Positive,Credit Cards,South America,Young Families,15,Unresolved,Service Issue,3,Customer Service,Called last year,Thank you for your feedback.,Loan Processing Delays
28,2024-03-15 09:27:59.297095,"High fees on savings accounts, definitely not competitive.",Mobile App,Mixed,Savings Accounts,South America,Students,21,Unresolved,Service Issue,3,Customer Service,Provided feedback 2 months ago,We apologize for the inconvenience.,Slow Customer Service
29,2024-06-03 09:27:59.297097,"I had a great experience getting my credit card, easy and fast process.",Email,Positive,Fees & Charges,Australia,Small Business,11,Resolved,Service Issue,4,Technical Issue,First interaction,Your issue has been resolved.,Slow Customer Service
30,2023-10-19 09:27:59.297098,"Service charges are too high for young professionals, need better options.",Survey,Positive,Mobile Banking,North America,Young Professionals,20,Unresolved,Service Issue,3,Technical Issue,Called last year,Your issue has been resolved.,High Fees
31,2024-09-17 09:27:59.297100,"I’m not happy with the loan approval process, very slow.",Survey,Mixed,Investment Advice,Australia,Retirees,10,Resolved,Service Issue,2,Technical Issue,Provided feedback 2 months ago,We are working on resolving your issue.,Technical Issues
32,2023-11-16 09:27:59.297101,It took too long to get a response from customer support.,Mobile App,Mixed,Investment Advice,Europe,Young Families,30,Unresolved,Service Issue,5,Technical Issue,First interaction,Thank you for your feedback.,Slow Customer Service
33,2024-07-09 09:27:59.297103,"The app has many technical issues, crashes frequently.",Email,Positive,Online Banking,North America,Young Professionals,46,Resolved,Service Issue,1,Usability,Provided feedback 2 months ago,We are working on resolving your issue.,Loan Processing Delays
34,2023-10-15 09:27:59.297105,"The wait time for customer support is too long, not acceptable.",Email,Mixed,Mobile Banking,Australia,Retirees,13,Resolved,Service Issue,4,Technical Issue,Provided feedback 2 months ago,We apologize for the inconvenience.,ATM Failures
35,2023-10-12 09:27:59.297106,"The app has many technical issues, crashes frequently.",Social Media,Positive,Mobile Banking,Australia,Young Professionals,20,Resolved,Service Issue,4,Technical Issue,First interaction,Your issue has been resolved.,Loan Processing Delays
36,2023-09-28 09:27:59.297108,"Mobile banking interface is user-friendly, much appreciated.",Phone Call,Mixed,Investment Advice,Asia,Students,45,Unresolved,Service Issue,1,Customer Service,Provided feedback 2 months ago,Thank you for your feedback.,Slow Customer Service
37,2023-12-12 09:27:59.297111,"Very satisfied with customer service, helped resolve my issue quickly.",Email,Negative,Fees & Charges,North America,Students,38,Resolved,Service Issue,3,Technical Issue,Frequent user,We apologize for the inconvenience.,Loan Processing Delays
38,2023-11-09 09:27:59.297114,"Very satisfied with customer service, helped resolve my issue quickly.",Mobile App,Negative,Savings Accounts,Australia,Small Business,4,Resolved,Service Issue,4,Technical Issue,Frequent user,Your issue has been resolved.,Loan Processing Delays
39,2023-11-19 09:27:59.297116,"Loan approval took forever, not coming back for another loan.",Email,Positive,Mobile Banking,Asia,Students,12,Resolved,Service Issue,5,Usability,Provided feedback 2 months ago,We apologize for the inconvenience.,High Fees
40,2024-06-15 09:27:59.297119,"The app has many technical issues, crashes frequently.",Branch Visit,Negative,Online Banking,Europe,Small Business,20,Resolved,Service Issue,2,Customer Service,Provided feedback 2 months ago,We apologize for the inconvenience.,Loan Processing Delays
41,2024-04-29 09:27:59.297122,The mobile app is too slow and keeps crashing.,Email,Positive,Mobile Banking,Australia,Retirees,6,Unresolved,Service Issue,5,Customer Service,Called last year,We apologize for the inconvenience.,Technical Issues
42,2024-07-13 09:27:59.297125,"The app logs me out constantly, very frustrating.",Email,Mixed,Savings Accounts,North America,Retirees,48,Resolved,Service Issue,1,Technical Issue,Provided feedback 2 months ago,Your issue has been resolved.,Loan Processing Delays
43,2024-08-28 09:27:59.297127,"The mobile app update improved performance, thank you!",Survey,Negative,Mortgage Services,North America,Young Professionals,46,Unresolved,Service Issue,5,Customer Service,First interaction,Your issue has been resolved.,ATM Failures
44,2024-01-14 09:27:59.297130,"The credit card features are excellent, love the rewards program.",Survey,Mixed,Fees & Charges,South America,Young Professionals,8,Resolved,Service Issue,2,Customer Service,Called last year,Thank you for your feedback.,ATM Failures
45,2023-11-24 09:27:59.297132,"The app has many technical issues, crashes frequently.",Mobile App,Positive,Savings Accounts,North America,Retirees,15,Resolved,Service Issue,1,Usability,Frequent user,Thank you for your feedback.,Slow Customer Service
46,2024-03-23 09:27:59.297135,"I waited 30 minutes to speak to someone, and they weren't helpful.",Email,Negative,Mortgage Services,North America,Small Business,39,Resolved,Service Issue,5,Usability,Frequent user,Thank you for your feedback.,Technical Issues
47,2024-04-10 09:27:59.297138,The interest rates on savings accounts are too low.,Mobile App,Positive,Fees & Charges,Asia,Young Families,11,Resolved,Service Issue,3,Customer Service,Called last year,Thank you for your feedback.,Slow Customer Service
48,2024-09-21 09:27:59.297140,"Investment advice was very helpful, made some good decisions.",Survey,Mixed,ATM Services,North America,Young Families,9,Unresolved,Service Issue,1,Technical Issue,Frequent user,We apologize for the inconvenience.,Slow Customer Service
49,2024-07-16 09:27:59.297142,"I waited 30 minutes to speak to someone, and they weren't helpful.",Survey,Negative,Credit Cards,Asia,Young Families,35,Resolved,Service Issue,2,Customer Service,First interaction,Your issue has been resolved.,Technical Issues
50,2024-06-30 09:27:59.297143,"I waited 30 minutes to speak to someone, and they weren't helpful.",Social Media,Negative,Online Banking,Asia,Young Professionals,21,Unresolved,Service Issue,1,Technical Issue,Called last year,We are working on resolving your issue.,Loan Processing Delays
51,2024-03-22 09:27:59.297145,"Quick and easy mortgage application, great experience.",Phone Call,Negative,Fees & Charges,Australia,Young Professionals,39,Unresolved,Service Issue,5,Customer Service,Frequent user,We are working on resolving your issue.,Loan Processing Delays
52,2024-05-31 09:27:59.297147,"The ATM was out of cash twice last week, very frustrating.",Phone Call,Negative,Online Banking,South America,Small Business,3,Resolved,Service Issue,1,Usability,Frequent user,We apologize for the inconvenience.,ATM Failures
53,2024-04-09 09:27:59.297148,"I’m not happy with the loan approval process, very slow.",Email,Mixed,Mobile Banking,Asia,Small Business,24,Resolved,Service Issue,3,Usability,First interaction,Your issue has been resolved.,Technical Issues
54,2024-06-03 09:27:59.297150,"Great service at the branch, very helpful staff!",Survey,Mixed,Mobile Banking,North America,Young Professionals,39,Resolved,Service Issue,5,Usability,Called last year,We apologize for the inconvenience.,High Fees
55,2024-01-09 09:27:59.297152,"Mobile banking interface is user-friendly, much appreciated.",Survey,Positive,Investment Advice,North America,Young Professionals,17,Unresolved,Service Issue,1,Technical Issue,Frequent user,Your issue has been resolved.,ATM Failures
56,2024-08-15 09:27:59.297153,"The app has many technical issues, crashes frequently.",Survey,Negative,Loan Services,North America,Young Families,5,Resolved,Service Issue,3,Customer Service,Provided feedback 2 months ago,Thank you for your feedback.,ATM Failures
57,2024-03-15 09:27:59.297155,"App functionality needs improvement, crashes during transfers.",Social Media,Negative,Credit Cards,Asia,Young Families,36,Resolved,Service Issue,4,Technical Issue,Called last year,We are working on resolving your issue.,High Fees
58,2023-12-19 09:27:59.297157,"The app has many technical issues, crashes frequently.",Phone Call,Negative,Mobile Banking,Australia,Small Business,28,Unresolved,Service Issue,5,Technical Issue,Called last year,We are working on resolving your issue.,Slow Customer Service
